geography,sex,raceethnicity,age,education,response,weight
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),32,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,30,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Less than high school diploma,10,2.23897167448123
CA,Male,ASIAN ALONE,45 to 64 years,Some college or associate's degree,15,7.548626288953496
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),38,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,38,0.6812546993292442
CA,Male,OTHER,18 to 24 years,Some college or associate's degree,11,0.5298126081050952
CA,Male,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),15,2.23897167448123
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,56,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),66,1.0688964208838911
CA,Male,HISPANIC OR LATINO,45 to 64 years,Less than high school diploma,16,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,36,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,38,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,33,0.6812546993292442
CA,Female,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),42,5.106844133308608
CA,Male,HISPANIC OR LATINO,25 to 44 years,Some college or associate's degree,14,2.23897167448123
CA,Female,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,37,5.106844133308608
CA,Female,HISPANIC OR LATINO,45 to 64 years,Bachelor's degree or higher,40,5.106844133308608
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,38,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,39,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Bachelor's degree or higher,40,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,55,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),69,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,47,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,50,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,31,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,High school graduate (includes equivalency),61,1.0688964208838911
CA,Male,HISPANIC OR LATINO,65 years and over,Bachelor's degree or higher,11,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,39,0.6812546993292442
CA,Male,HISPANIC OR LATINO,25 to 44 years,Less than high school diploma,16,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,27,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,49,1.0688964208838911
CA,Female,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),40,5.106844133308608
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,32,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,High school graduate (includes equivalency),29,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),14,2.23897167448123
CA,Male,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),14,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,37,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),30,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),21,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),62,1.0688964208838911
CA,Male,OTHER,45 to 64 years,High school graduate (includes equivalency),14,0.5298126081050952
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,58,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),32,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),29,0.6812546993292442
CA,Female,HISPANIC OR LATINO,45 to 64 years,Less than high school diploma,40,5.106844133308608
CA,Male,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,12,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,37,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,33,0.6812546993292442
CA,Male,OTHER,45 to 64 years,High school graduate (includes equivalency),15,0.5298126081050952
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,37,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,32,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,36,0.6812546993292442
CA,Male,HISPANIC OR LATINO,18 to 24 years,Less than high school diploma,18,2.23897167448123
CA,Male,OTHER,25 to 44 years,Some college or associate's degree,17,0.5298126081050952
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),35,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Some college or associate's degree,35,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,37,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),14,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,29,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Some college or associate's degree,63,1.0688964208838911
